ProbID	Method	Layout	TaskCompletionTime	ErrorRate	Overshoot	OvershootTime	NoTargetSelected
20	Analogue Stick	2D	7.566375	0	0.250000	0.458875	0.000000
20	Buttons	Vertical	5.952500	1	0.125000	0.417125	0.000000
20	Buttons	Horizontal	5.619375	0	0.250000	0.450000	0.000000
20	Buttons	2D	7.650500	0	0.125000	0.272625	0.000000
20	Direct Touch	Vertical	5.956250	1	-1.000000	0.000000	0.000000
20	Direct Touch	Horizontal	3.183125	4	-1.000000	0.000000	0.000000
20	Direct Touch	2D	5.141500	0	-1.000000	0.000000	0.000000
20	Indirect Touch	Vertical	10.406000	1	1.000000	2.367250	0.000000
20	Indirect Touch	Horizontal	10.621125	5	0.250000	0.546875	1.000000
20	Indirect Touch	2D	15.816875	22	0.000000	0.000000	2.000000
21	Analogue Stick	Vertical	7.001125	0	0.125000	0.246250	0.000000
21	Analogue Stick	Horizontal	5.076750	0	0.250000	0.520750	0.000000
21	Analogue Stick	2D	7.235625	0	0.375000	0.914750	0.000000
21	Buttons	Vertical	5.977500	0	0.625000	1.640000	0.000000
21	Buttons	Horizontal	6.331750	0	0.875000	2.090625	0.000000
21	Buttons	2D	7.785000	0	0.625000	1.860125	0.000000
21	Direct Touch	Vertical	3.862875	0	-1.000000	0.000000	0.000000
21	Direct Touch	Horizontal	3.038375	0	-1.000000	0.000000	0.000000
21	Direct Touch	2D	3.257000	0	-1.000000	0.000000	0.000000
21	Indirect Touch	Vertical	8.952250	1	0.500000	0.354500	1.000000
21	Indirect Touch	Horizontal	7.167625	0	0.375000	0.986875	0.000000
21	Indirect Touch	2D	11.547750	0	0.875000	3.183125	0.000000
22	Analogue Stick	Vertical	7.846625	0	0.875000	2.189000	0.000000
22	Analogue Stick	Horizontal	7.152625	0	0.625000	2.760250	0.000000
22	Analogue Stick	2D	6.701125	0	0.125000	0.131125	0.000000
22	Buttons	Vertical	6.298875	1	0.625000	1.194375	0.000000
22	Buttons	Horizontal	4.034750	0	0.000000	0.000000	0.000000
22	Buttons	2D	7.175875	5	0.500000	0.957250	0.000000
22	Direct Touch	Vertical	3.304000	0	-1.000000	0.000000	0.000000
22	Direct Touch	Horizontal	3.376250	1	-1.000000	0.000000	0.000000
22	Direct Touch	2D	4.146125	0	-1.000000	0.000000	0.000000
22	Indirect Touch	Vertical	7.686125	1	0.375000	0.633500	0.000000
22	Indirect Touch	Horizontal	6.331625	0	0.625000	1.018750	0.000000
22	Indirect Touch	2D	10.691000	4	0.000000	0.000000	0.000000
23	Analogue Stick	Vertical	5.210625	0	0.375000	0.605125	0.000000
23	Analogue Stick	Horizontal	4.931625	0	0.375000	0.754500	0.000000
23	Analogue Stick	2D	6.496000	0	0.250000	0.797750	0.000000
23	Buttons	Vertical	6.341000	3	0.500000	1.119250	0.000000
23	Buttons	Horizontal	5.024875	1	0.375000	0.972750	0.000000
23	Buttons	2D	8.875875	1	0.500000	0.815875	0.000000
23	Direct Touch	Vertical	2.700625	1	-1.000000	0.000000	0.000000
23	Direct Touch	Horizontal	2.181375	0	-1.000000	0.000000	0.000000
23	Direct Touch	2D	3.082500	1	-1.000000	0.000000	0.000000
23	Indirect Touch	Vertical	12.008500	3	0.000000	0.000000	2.000000
23	Indirect Touch	Horizontal	8.498750	1	0.375000	0.597125	2.000000
23	Indirect Touch	2D	13.794500	2	0.000000	0.000000	2.000000
3	Analogue Stick	Vertical	5.072750	0	0.625000	1.262125	0.000000
3	Analogue Stick	Horizontal	4.399125	0	0.250000	0.354750	0.000000
3	Analogue Stick	2D	6.831750	0	0.750000	0.631625	0.000000
3	Buttons	Vertical	5.183625	1	0.750000	1.005750	0.000000
3	Buttons	Horizontal	3.708000	1	0.625000	0.937500	0.000000
3	Buttons	2D	5.779125	0	0.625000	0.663750	0.000000
3	Direct Touch	Vertical	2.746250	0	-1.000000	0.000000	0.000000
3	Direct Touch	Horizontal	2.439000	1	-1.000000	0.000000	0.000000
3	Direct Touch	2D	4.066000	0	-1.000000	0.000000	0.000000
3	Indirect Touch	Vertical	7.426875	3	0.750000	1.666000	0.000000
3	Indirect Touch	Horizontal	7.327500	0	0.500000	1.676125	0.000000
3	Indirect Touch	2D	10.030750	0	0.500000	1.380875	1.000000
4	Analogue Stick	Vertical	5.898750	0	0.375000	0.811000	0.000000
4	Analogue Stick	Horizontal	4.002125	0	0.375000	0.416750	0.000000
4	Analogue Stick	2D	6.478625	0	0.250000	0.526250	0.000000
4	Buttons	Vertical	5.138250	0	0.375000	0.745375	0.000000
4	Buttons	Horizontal	3.883125	0	0.500000	0.809500	0.000000
4	Buttons	2D	5.098625	0	0.375000	0.619125	0.000000
4	Direct Touch	Vertical	3.238500	0	-1.000000	0.000000	0.000000
4	Direct Touch	Horizontal	2.823625	0	-1.000000	0.000000	0.000000
4	Direct Touch	2D	3.346000	0	-1.000000	0.000000	0.000000
4	Indirect Touch	Vertical	8.395250	0	0.375000	0.565125	0.000000
4	Indirect Touch	Horizontal	6.083500	1	0.875000	1.074000	0.000000
4	Indirect Touch	2D	10.371500	1	0.500000	1.367500	0.000000
5	Analogue Stick	Vertical	5.329000	0	0.250000	0.546250	0.000000
5	Analogue Stick	Horizontal	7.336125	0	0.125000	0.384500	1.000000
5	Analogue Stick	2D	10.538125	0	0.500000	1.986500	0.000000
5	Buttons	Vertical	5.183500	1	0.125000	0.239750	0.000000
5	Buttons	Horizontal	3.792750	1	0.125000	0.226375	0.000000
5	Buttons	2D	6.073750	0	0.125000	0.290500	0.000000
5	Direct Touch	Vertical	2.612000	0	-1.000000	0.000000	0.000000
5	Direct Touch	Horizontal	3.675125	2	-1.000000	0.000000	0.000000
5	Direct Touch	2D	3.923625	2	-1.000000	0.000000	0.000000
5	Indirect Touch	Vertical	8.409500	2	0.500000	0.854125	0.000000
5	Indirect Touch	Horizontal	6.175000	2	0.375000	0.479125	0.000000
5	Indirect Touch	2D	10.317500	1	0.375000	0.642875	0.000000
6	Analogue Stick	Vertical	8.649125	0	0.750000	0.434625	1.000000
6	Analogue Stick	Horizontal	6.391875	0	0.625000	1.866875	0.000000
6	Analogue Stick	2D	7.798250	0	0.125000	0.274000	1.000000
6	Buttons	Vertical	4.977750	0	0.500000	0.829250	0.000000
6	Buttons	Horizontal	4.757375	1	0.500000	0.659250	0.000000
6	Buttons	2D	6.342000	0	0.000000	0.000000	0.000000
6	Direct Touch	Vertical	4.764875	0	-1.000000	0.000000	0.000000
6	Direct Touch	Horizontal	3.209250	1	-1.000000	0.000000	0.000000
6	Direct Touch	2D	6.708250	0	-1.000000	0.000000	0.000000
6	Indirect Touch	Vertical	13.096125	15	0.250000	1.803500	1.000000
6	Indirect Touch	Horizontal	6.868375	0	0.000000	0.000000	0.000000
6	Indirect Touch	2D	12.468500	0	0.000000	0.000000	2.000000
7	Analogue Stick	Vertical	4.908125	0	0.500000	0.842875	0.000000
7	Analogue Stick	Horizontal	6.451250	0	0.375000	0.694250	1.000000
7	Analogue Stick	2D	6.048875	1	0.375000	0.903250	0.000000
7	Buttons	Vertical	5.530375	0	0.750000	1.560250	0.000000
7	Buttons	Horizontal	4.685625	2	0.500000	1.077875	0.000000
7	Buttons	2D	6.642250	1	1.125000	1.057500	0.000000
7	Direct Touch	Vertical	3.845750	0	-1.000000	0.000000	0.000000
7	Direct Touch	Horizontal	3.440125	1	-1.000000	0.000000	0.000000
7	Direct Touch	2D	4.671875	0	-1.000000	0.000000	0.000000
7	Indirect Touch	Vertical	10.620000	3	0.125000	0.112375	1.000000
7	Indirect Touch	Horizontal	13.836500	4	0.250000	0.838750	3.000000
7	Indirect Touch	2D	15.391250	0	0.750000	2.591625	1.000000
8	Analogue Stick	Vertical	7.587250	1	0.250000	0.943875	0.000000
8	Analogue Stick	Horizontal	6.824125	0	0.000000	0.000000	0.000000
8	Analogue Stick	2D	7.346375	0	0.000000	0.000000	0.000000
8	Buttons	Vertical	5.620625	0	0.250000	0.439750	0.000000
8	Buttons	Horizontal	5.216875	2	0.125000	0.229125	0.000000
8	Buttons	2D	8.922375	0	0.000000	0.000000	0.000000
8	Direct Touch	Vertical	12.619625	2	-0.750000	0.000000	2.000000
8	Direct Touch	Horizontal	8.280125	0	-0.875000	0.000000	1.000000
8	Direct Touch	2D	11.702750	0	-0.750000	0.000000	2.000000
8	Indirect Touch	Vertical	8.133250	1	0.750000	1.191125	1.000000
8	Indirect Touch	Horizontal	8.863000	2	1.375000	2.058750	1.000000
8	Indirect Touch	2D	17.255625	3	1.000000	0.810250	5.000000
9	Analogue Stick	Vertical	13.093375	0	0.250000	1.490375	1.000000
9	Analogue Stick	Horizontal	7.596875	0	0.500000	0.613750	1.000000
9	Analogue Stick	2D	12.716375	0	0.500000	0.185125	0.000000
9	Buttons	Vertical	9.233250	0	0.500000	1.379125	0.000000
9	Buttons	Horizontal	8.213875	0	0.125000	0.881625	0.000000
9	Buttons	2D	9.212500	1	0.500000	1.047250	1.000000
9	Direct Touch	Vertical	3.391125	0	-1.000000	0.000000	0.000000
9	Direct Touch	Horizontal	4.021250	1	-1.000000	0.000000	0.000000
9	Direct Touch	2D	4.719875	1	-1.000000	0.000000	0.000000
9	Indirect Touch	Vertical	14.450000	7	0.375000	0.738500	3.000000
9	Indirect Touch	Horizontal	13.419750	12	0.125000	0.507750	1.000000
9	Indirect Touch	2D	15.348875	5	0.125000	0.268000	2.000000
